episode,start_tick,reward,success_rate,lost,critical_lost,relocations,preemptive,sla,protected,energy,infeasible
388,124,29.2577,0.7750,9,2,74,74,0,17,2203.61,13
389,15,14.1675,0.7000,9,4,76,74,1,6,2092.36,6
390,117,29.5981,0.7750,8,2,78,78,2,16,2223.35,6
391,27,15.9080,0.7000,8,3,82,81,3,7,2109.80,6
392,213,17.2097,0.7500,10,6,83,83,0,5,2302.67,12
393,49,17.4611,0.7000,9,4,68,68,1,10,2000.75,9
394,245,14.9201,0.7500,10,5,76,76,1,3,2253.57,13
395,197,28.9492,0.7750,9,4,72,72,0,4,2175.26,5
396,284,4.1877,0.7000,12,5,74,74,0,5,2235.95,10
397,414,16.3536,0.7000,9,3,76,75,2,9,2084.35,14
398,426,-17.2338,0.6000,14,5,74,73,1,3,1872.60,12
399,468,21.3370,0.7500,9,2,78,73,1,14,2137.56,10
400,311,5.2336,0.7250,11,5,83,83,1,10,2107.47,6
401,114,16.9803,0.7000,9,4,66,66,3,15,2062.16,5
402,351,4.7692,0.7000,11,6,80,79,1,14,2209.78,7
403,443,12.6822,0.6750,9,3,85,83,2,12,2105.39,9
404,440,4.4328,0.6750,11,4,78,75,2,9,2065.58,11
405,296,13.2560,0.7250,10,4,79,78,0,11,2169.98,14
406,18,14.3269,0.7250,9,3,88,88,2,12,2060.09,8
407,261,10.7436,0.7250,10,6,83,83,2,1,2137.20,4
408,248,6.2266,0.6750,11,4,72,72,1,3,2114.27,15
409,392,-36.4983,0.5750,16,8,79,79,2,4,1836.86,6
410,385,12.6125,0.7250,10,4,82,81,1,8,2098.22,12
411,303,2.2997,0.7000,12,5,75,72,2,8,2105.16,7
412,392,-0.0772,0.7000,11,5,87,84,0,8,1922.21,17
413,148,18.5041,0.7500,10,4,74,74,1,9,2196.15,7
414,319,8.8910,0.7250,10,4,85,85,2,10,2166.78,15
