episode,start_tick,reward,success_rate,lost,critical_lost,relocations,preemptive,sla,protected,energy,infeasible,source_artifact
142,278,-8.5083,0.65,13,4,80,80,1,5,1969.97,3,python-ai/saved_models/marl/mappo_history.csv
143,198,28.322,0.775,8,2,80,80,4,6,2273.45,0,python-ai/saved_models/marl/mappo_history.csv
144,90,29.0367,0.775,7,2,94,94,4,17,2253.67,1,python-ai/saved_models/marl/mappo_history.csv
145,134,31.739,0.75,6,1,87,87,4,18,2236.02,0,python-ai/saved_models/marl/mappo_history.csv
146,258,1.8101,0.675,12,5,74,73,1,4,2074.27,1,python-ai/saved_models/marl/mappo_history.csv
147,439,-0.2903,0.675,13,5,72,68,0,11,2005.45,1,python-ai/saved_models/marl/mappo_history.csv
148,450,3.4863,0.7,10,7,82,78,3,10,1910.08,1,python-ai/saved_models/marl/mappo_history.csv
149,399,-39.244,0.55,17,5,82,79,0,5,1782.27,0,python-ai/saved_models/marl/mappo_history.csv
150,172,-11.6441,0.65,12,6,86,86,3,14,1995.51,0,python-ai/saved_models/marl/mappo_history.csv
151,103,45.6605,0.825,5,2,85,85,3,17,2345.59,2,python-ai/saved_models/marl/mappo_history.csv
152,288,22.1956,0.75,8,3,87,87,3,6,2121.12,1,python-ai/saved_models/marl/mappo_history.csv
153,228,18.9107,0.7,8,1,78,76,3,1,2087.77,0,python-ai/saved_models/marl/mappo_history.csv
154,482,-3.612,0.675,12,5,80,77,1,4,1992.7,2,python-ai/saved_models/marl/mappo_history.csv
155,456,-0.5782,0.675,11,4,79,76,1,9,1989.6,1,python-ai/saved_models/marl/mappo_history.csv
156,99,26.9729,0.8,8,3,85,85,1,18,2193.26,0,python-ai/saved_models/marl/mappo_history.csv
157,194,13.9608,0.725,11,1,78,78,1,6,2108.66,1,python-ai/saved_models/marl/mappo_history.csv
158,175,24.6493,0.725,6,3,88,88,3,9,2108.79,0,python-ai/saved_models/marl/mappo_history.csv
159,208,-3.6641,0.675,13,5,78,78,0,4,2030.03,1,python-ai/saved_models/marl/mappo_history.csv
160,456,-7.5862,0.65,13,3,82,81,1,8,2007.83,2,python-ai/saved_models/marl/mappo_history.csv
161,202,7.8575,0.675,10,4,82,82,3,5,2174.3,0,python-ai/saved_models/marl/mappo_history.csv
162,30,0.0753,0.65,11,3,86,86,2,9,2041.63,1,python-ai/saved_models/marl/mappo_history.csv
163,268,31.2582,0.775,7,2,85,85,3,7,2218.82,0,python-ai/saved_models/marl/mappo_history.csv
164,24,42.0083,0.825,6,2,87,87,2,19,2280.42,0,python-ai/saved_models/marl/mappo_history.csv
165,355,-31.1294,0.6,16,5,83,83,1,5,1875.87,3,python-ai/saved_models/marl/mappo_history.csv
166,233,23.2683,0.775,8,4,90,88,2,8,2213.29,1,python-ai/saved_models/marl/mappo_history.csv
167,395,-30.1489,0.6,16,6,82,81,0,5,1807.33,1,python-ai/saved_models/marl/mappo_history.csv
