update,episode,checkpoint,checkpoint_md5,lr_scale,state_set,n_decision,n_highrisk,n_lowrisk,delta_edge,p_edge_high_risk,p_edge_low_risk,greedy_edge_high_risk,greedy_edge_low_risk,stochastic_entropy_high_risk,stochastic_entropy_all_decision,max_probability_all_decision,fraction_max_probability_gt_099_all_decision,source_artifact
22,176,R2_trajectory_u022.pth,fdcee8df6add450b1dbf1be0aa9b118a,0.72,RANDOM,4975,216,4757,0.10598630670949163,0.28891652677783797,0.18293022006834633,0.2175925925925926,0.10342652932520496,0.6208830586184017,0.5243189338603448,0.7633868213035353,0.0,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
22,176,R2_trajectory_u022.pth,fdcee8df6add450b1dbf1be0aa9b118a,0.72,UNION,74237,3592,70621,0.14443513350752937,0.3915205783136995,0.24708544480617015,0.3457683741648107,0.21242973053341074,0.6202074194873062,0.4855265863386312,0.7513566031121282,0.0,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
23,184,R2_trajectory_u023.pth,055d627ec9bd87f68b7bd9b0a0cb7f15,0.7066666666666667,RANDOM,4975,216,4757,0.12911774514261826,0.29155180142886283,0.16243405628624458,0.11574074074074074,0.05970149253731343,0.6570571417930461,0.49539047218935583,0.7797024862310994,0.06030150753768844,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
23,184,R2_trajectory_u023.pth,055d627ec9bd87f68b7bd9b0a0cb7f15,0.7066666666666667,UNION,74237,3592,70621,0.14134269707091976,0.35226088052294086,0.2109181834520211,0.15451002227171493,0.06944110108891123,0.6281887902208764,0.45209736535538425,0.7735223502323353,0.10325040074356454,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
24,192,R2_trajectory_u024.pth,bfb839f07ee5f054d7deb03ad8554ae8,0.6933333333333334,RANDOM,4975,216,4757,0.11734038381380285,0.2536674202710856,0.13632703645728272,0.11574074074074074,0.05465629598486441,0.6319983535638032,0.45124587171323133,0.8055113533992864,0.08281407035175879,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
24,192,R2_trajectory_u024.pth,bfb839f07ee5f054d7deb03ad8554ae8,0.6933333333333334,UNION,74237,3592,70621,0.13447626315323208,0.3136126890223916,0.1791364258691595,0.15423162583518932,0.06893133770408236,0.6048042380478712,0.4099621411616229,0.8037686688851307,0.14490079071083153,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
25,200,R2_trajectory_u025.pth,a146332e95dfa4d869fff411035ee70c,0.6799999999999999,RANDOM,4975,216,4757,0.12764640127918966,0.26886444960864203,0.14121804832945237,0.1111111111111111,0.08093336136220307,0.6485917908622274,0.4400212330520229,0.8149033458448535,0.08281407035175879,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
25,200,R2_trajectory_u025.pth,a146332e95dfa4d869fff411035ee70c,0.6799999999999999,UNION,74237,3592,70621,0.14361571360557035,0.3236426937853315,0.18002698017976115,0.15423162583518932,0.12492034947112049,0.6019834778551728,0.383053080197138,0.8258142423910454,0.14557430930667994,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
26,208,R2_trajectory_u026.pth,18ef6dfbf35a8191533cf62bfba1a3be,0.6666666666666667,RANDOM,4975,216,4757,0.138373932057484,0.2834371135702693,0.1450631815127853,0.1111111111111111,0.08093336136220307,0.6624658082802194,0.44164107289212096,0.8157119107246399,0.08281407035175879,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
26,208,R2_trajectory_u026.pth,18ef6dfbf35a8191533cf62bfba1a3be,0.6666666666666667,UNION,74237,3592,70621,0.137372874558835,0.3175484792262996,0.18017560466746457,0.15423162583518932,0.12492034947112049,0.580734945576166,0.3707125171113533,0.8378483946724008,0.14573595376968357,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
27,216,R2_trajectory_u027.pth,4d5206fa6aee192d3f44bcfc9bea01e4,0.6533333333333333,RANDOM,4975,216,4757,0.14421318850417345,0.28597197375051175,0.1417587852463383,0.10648148148148148,0.08093336136220307,0.6631381597997884,0.4321261213596534,0.8201197092437265,0.08281407035175879,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
