update,state_set,action,high_minus_low_probability,source_artifact
15,RANDOM,STAY,0.010547750614474882,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
15,RANDOM,MIGRATE_EDGE,0.07174734274403186,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
15,RANDOM,MIGRATE_CLOUD,-0.08033886689645081,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
15,RANDOM,PREEMPT_REROUTE,-0.0019562327300447213,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
15,UNION,STAY,-0.009595406417268082,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
15,UNION,MIGRATE_EDGE,0.03209821512497585,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
15,UNION,MIGRATE_CLOUD,-0.022239266498888126,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
15,UNION,PREEMPT_REROUTE,-0.0002635419803407694,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
16,RANDOM,STAY,0.008774063193124237,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
16,RANDOM,MIGRATE_EDGE,0.08026065284824144,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
16,RANDOM,MIGRATE_CLOUD,-0.0875589909374572,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
16,RANDOM,PREEMPT_REROUTE,-0.001475724761466507,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
16,UNION,STAY,-0.007946608971553415,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
16,UNION,MIGRATE_EDGE,0.03171052742415603,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
16,UNION,MIGRATE_CLOUD,-0.023565110670026354,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
16,UNION,PREEMPT_REROUTE,-0.0001988083626767158,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
17,RANDOM,STAY,0.0016096746769225234,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
17,RANDOM,MIGRATE_EDGE,0.07889746419248636,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
17,RANDOM,MIGRATE_CLOUD,-0.07897235402365393,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
17,RANDOM,PREEMPT_REROUTE,-0.0015347881811567784,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
17,UNION,STAY,-0.03672971580809703,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
17,UNION,MIGRATE_EDGE,0.057215578509717924,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
17,UNION,MIGRATE_CLOUD,-0.02027909741381405,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
17,UNION,PREEMPT_REROUTE,-0.0002067653354600698,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
18,RANDOM,STAY,0.011540869663705378,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
18,RANDOM,MIGRATE_EDGE,0.07305110900927594,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
18,RANDOM,MIGRATE_CLOUD,-0.08277608174776294,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
18,RANDOM,PREEMPT_REROUTE,-0.0018158952416004392,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
18,UNION,STAY,-0.044168691072148714,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
18,UNION,MIGRATE_EDGE,0.06560834352423428,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
18,UNION,MIGRATE_CLOUD,-0.02119501605828373,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
18,UNION,PREEMPT_REROUTE,-0.0002446358353547327,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
19,RANDOM,STAY,0.023051092687677244,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
19,RANDOM,MIGRATE_EDGE,0.0725008770566202,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
19,RANDOM,MIGRATE_CLOUD,-0.09359162161137247,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
19,RANDOM,PREEMPT_REROUTE,-0.0019603463902753116,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
19,UNION,STAY,-0.056384112280419174,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
19,UNION,MIGRATE_EDGE,0.08015358077031379,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
19,UNION,MIGRATE_CLOUD,-0.02350537223109698,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
19,UNION,PREEMPT_REROUTE,-0.0002640961690868058,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
20,RANDOM,STAY,0.031658930333039126,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
20,RANDOM,MIGRATE_EDGE,0.07464029829562163,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
20,RANDOM,MIGRATE_CLOUD,-0.10439279938965063,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
20,RANDOM,PREEMPT_REROUTE,-0.001906428833029865,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
20,UNION,STAY,-0.06816799217231384,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
20,UNION,MIGRATE_EDGE,0.09285061903846431,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
20,UNION,MIGRATE_CLOUD,-0.02442579306330682,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
20,UNION,PREEMPT_REROUTE,-0.0002568324424384551,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
21,RANDOM,STAY,0.0010615274774645744,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
21,RANDOM,MIGRATE_EDGE,0.10506584184798948,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
21,RANDOM,MIGRATE_CLOUD,-0.10376663704255495,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
21,RANDOM,PREEMPT_REROUTE,-0.0023607357111652782,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
21,UNION,STAY,-0.10815650482574968,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
21,UNION,MIGRATE_EDGE,0.13203245964515428,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
21,UNION,MIGRATE_CLOUD,-0.023557919176044495,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
21,UNION,PREEMPT_REROUTE,-0.0003180362718741799,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
22,RANDOM,STAY,-0.0019758088721996137,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
22,RANDOM,MIGRATE_EDGE,0.10598630670949163,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
22,RANDOM,MIGRATE_CLOUD,-0.10167307226703476,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
22,RANDOM,PREEMPT_REROUTE,-0.002337425552498074,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
22,UNION,STAY,-0.12095523083745674,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
22,UNION,MIGRATE_EDGE,0.14443513350752937,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
22,UNION,MIGRATE_CLOUD,-0.02316500530117562,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
22,UNION,PREEMPT_REROUTE,-0.00031489594747265934,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
23,RANDOM,STAY,-0.016437579662687107,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
23,RANDOM,MIGRATE_EDGE,0.12911774514261826,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
23,RANDOM,MIGRATE_CLOUD,-0.11089055625071056,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
23,RANDOM,PREEMPT_REROUTE,-0.0017896092549477,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
23,UNION,STAY,-0.11830123827874495,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
23,UNION,MIGRATE_EDGE,0.14134269707091976,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
23,UNION,MIGRATE_CLOUD,-0.022800364533008974,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
23,UNION,PREEMPT_REROUTE,-0.00024109460998247574,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
