nodeId,time,predicted_failure_risk,prediction_uncertainty
2,51.100000,0.049092,0.000000
3,51.100000,0.014560,0.000000
4,51.100000,0.042553,0.000000
5,51.100000,0.059833,0.000000
6,51.100000,0.042553,0.000000
7,51.100000,0.042553,0.000000
8,51.100000,0.042553,0.000000
9,51.100000,0.042553,0.000000
0,52.100000,0.042553,0.000000
1,52.100000,0.059833,0.000000
2,52.100000,0.049092,0.000000
3,52.100000,0.014572,0.000000
4,52.100000,0.042553,0.000000
5,52.100000,0.059833,0.000000
6,52.100000,0.042553,0.000000
7,52.100000,0.042553,0.000000
8,52.100000,0.042553,0.000000
9,52.100000,0.042553,0.000000
0,53.100000,0.042553,0.000000
1,53.100000,0.059833,0.000000
2,53.100000,0.049092,0.000000
3,53.100000,0.014560,0.000000
4,53.100000,0.042553,0.000000
5,53.100000,0.059833,0.000000
6,53.100000,0.042553,0.000000
7,53.100000,0.042553,0.000000
8,53.100000,0.042553,0.000000
9,53.100000,0.042553,0.000000
0,54.100000,0.042553,0.000000
1,54.100000,0.059833,0.000000
2,54.100000,0.049093,0.000000
3,54.100000,0.014573,0.000000
4,54.100000,0.042553,0.000000
5,54.100000,0.059833,0.000000
6,54.100000,0.042553,0.000000
7,54.100000,0.042553,0.000000
8,54.100000,0.042553,0.000000
9,54.100000,0.042553,0.000000
0,55.100000,0.042553,0.000000
1,55.100000,0.059833,0.000000
2,55.100000,0.049093,0.000000
3,55.100000,0.014589,0.000000
4,55.100000,0.042553,0.000000
5,55.100000,0.059833,0.000000
6,55.100000,0.042553,0.000000
7,55.100000,0.042553,0.000000
8,55.100000,0.042553,0.000000
9,55.100000,0.042553,0.000000
0,56.100000,0.042553,0.000000
1,56.100000,0.059833,0.000000
2,56.100000,0.049094,0.000000
3,56.100000,0.014574,0.000000
4,56.100000,0.042553,0.000000
5,56.100000,0.059833,0.000000
6,56.100000,0.042553,0.000000
7,56.100000,0.042553,0.000000
8,56.100000,0.042553,0.000000
9,56.100000,0.042553,0.000000
0,57.100000,0.042553,0.000000
1,57.100000,0.059833,0.000000
2,57.100000,0.049094,0.000000
3,57.100000,0.014558,0.000000
4,57.100000,0.042553,0.000000
5,57.100000,0.059833,0.000000
6,57.100000,0.042553,0.000000
7,57.100000,0.042553,0.000000
8,57.100000,0.042553,0.000000
9,57.100000,0.042553,0.000000
0,58.100000,0.042553,0.000000
1,58.100000,0.059833,0.000000
2,58.100000,0.049095,0.000000
3,58.100000,0.014558,0.000000
4,58.100000,0.042553,0.000000
5,58.100000,0.059833,0.000000
6,58.100000,0.042553,0.000000
7,58.100000,0.042553,0.000000
8,58.100000,0.042553,0.000000
9,58.100000,0.042553,0.000000
0,59.100000,0.042553,0.000000
1,59.100000,0.059833,0.000000
2,59.100000,0.049095,0.000000
3,59.100000,0.014561,0.000000
4,59.100000,0.042553,0.000000
5,59.100000,0.059834,0.000000
6,59.100000,0.042553,0.000000
7,59.100000,0.042553,0.000000
8,59.100000,0.042553,0.000000
9,59.100000,0.042553,0.000000
0,60.100000,0.059838,0.000000
1,60.100000,0.080387,0.000000
2,60.100000,0.014524,0.000000
3,60.100000,0.042553,0.000000
4,60.100000,0.059834,0.000000
5,60.100000,0.049277,0.000000
6,60.100000,0.059838,0.000000
7,60.100000,0.080385,0.000000
8,60.100000,0.080385,0.000000
9,60.100000,0.080387,0.000000
0,61.100000,0.059838,0.000000
1,61.100000,0.080385,0.000000
2,61.100000,0.014523,0.000000
3,61.100000,0.042553,0.000000
4,61.100000,0.059833,0.000000
5,61.100000,0.049273,0.000000
6,61.100000,0.059839,0.000000
7,61.100000,0.080386,0.000000
8,61.100000,0.080387,0.000000
9,61.100000,0.080385,0.000000
0,62.100000,0.059839,0.000000
